Duty ID,Start time,End time,Start stop description,End stop description
89,05:34,16:02,Temple Ave and S. Campus Dr,Pomona Transit Center
90,10:08,20:32,Temple Ave and S. Campus Dr,Ridgeway and Valley
91,10:13,21:33,Pomona Transit Center,Puente Hills Mall
92,10:30,20:23,Temple Ave and S. Campus Dr,Pomona Transit Center
93,10:56,21:02,Temple Ave and S. Campus Dr,Pomona Transit Center
94,11:07,20:52,Pomona Transit Center,Puente Hills Mall
95,11:08,21:06,El Monte Station,Pomona Transit Center
96,11:23,20:51,Montclair Transit Center,Montclair Transit Center
97,11:40,21:56,Citrus Gold Line Station,Beach and La Habra
98,11:50,20:46,El Monte Station,Temple Ave and S. Campus Dr
99,11:53,22:02,El Monte Station,Pomona Transit Center
100,12:03,21:49,Temple Ave and S. Campus Dr,Montclair Transit Center
101,12:05,21:01,Pomona Transit Center,Citrus Gold Line Station
102,12:07,22:01,Pomona Transit Center,Pomona Transit Center
103,12:20,23:02,Temple Ave and S. Campus Dr,Pomona Transit Center
104,12:23,23:17,El Monte Station,El Monte Station
105,12:35,22:32,Citrus Gold Line Station,Puente Hills Mall
106,12:35,21:21,Figueroa and 9th,Montclair Transit Center
107,12:37,22:57,Pomona Transit Center,Pomona Transit Center
108,12:41,21:55,Puente Hills Mall,Puente Hills Mall
109,12:50,22:19,El Monte Station,Montclair Transit Center
110,03:15,09:50,Citrus Gold Line Station,Hope and 9th
111,03:20,14:15,Durward and D St,Towne and Marketplace
112,03:25,13:58,Towne and Marketplace,Towne and Marketplace
113,03:50,17:23,Durward and D St,Towne and Marketplace
114,03:55,17:24,Industry Park & Ride,Puente Hills Mall
115,03:55,14:16,El Monte Station,Hope and 9th
116,03:55,16:35,Towne and Marketplace,Durward and D St
117,04:10,15:52,Industry Park & Ride,Hope and 9th
118,04:10,17:21,El Monte Station,Montclair Transit Center
119,04:10,15:47,Montclair Transit Center,Hope and 9th
120,04:15,17:39,El Monte Station,Temple Ave and S. Campus Dr
121,04:20,17:54,Beach and La Habra,Pomona Transit Center
122,04:30,17:56,Covina Transit Center,Hope and 9th
123,04:34,18:11,San Dimas Park and Ride,Hope and 9th
124,04:40,18:11,Puente Hills Mall,Temple Ave and S. Campus Dr
125,04:52,18:05,Montclair Transit Center,Hope and 9th
126,04:55,18:02,Ridgeway and Valley,Hope and 9th
127,05:00,18:19,Durward and D St,Towne and Marketplace
128,05:00,18:09,Claremont Transit Center,Hope and 9th
129,05:04,18:31,Citrus Gold Line Station,El Monte Station
130,05:04,18:39,Industry Park & Ride,El Monte Station
131,05:05,18:24,Towne and Marketplace,Durward and D St
132,05:05,18:38,Pomona Transit Center,Hope and 9th
133,05:05,17:31,Brea Mall Transit Center,Hope and 9th
134,05:10,18:31,Temple Ave and S. Campus Dr,Montclair Transit Center
135,05:15,18:52,Puente Hills Mall,Hope and 9th
136,05:18,18:47,Montclair Transit Center,Temple Ave and S. Campus Dr
137,05:22,18:59,Temple Ave and S. Campus Dr,El Monte Station
138,05:24,19:03,Industry Park & Ride,Temple Ave and S. Campus Dr
139,05:25,19:01,Montclair Transit Center,Pomona Transit Center
140,08:24,21:59,Towne and Marketplace,Towne and Marketplace
141,08:55,22:32,Durward and D St,Towne and Marketplace
142,09:00,22:29,Towne and Marketplace,Towne and Marketplace
143,04:40,10:38,Citrus Gold Line Station,Pomona Transit Center
144,12:00,21:04,Pomona Transit Center,Temple Ave and S. Campus Dr
